"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"434","Havnen 7","3790","Hasle","55.184491","14.703062","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: Hasle havn ved havnekajen, på modsatte side af siloen.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/havnen72_0.jpg"
"420","Havvej, Sorthat","3700","Rønne","55.147502","14.706112","Unisex","Nej","Nej","Nej","Nej","Nej","Placering: Tørkloset, P-plads ved Havvej.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/havvej3b2_0.jpg"
"415","Helligdomsvej","3770","Gudhjem","55.208487","14.971114","Unisex","Nej","Nej","Ved ikke","Ja","Ja","Placering: P-plads ved tankstation F24.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/helligdomsvej1a1.jpg"
"410","Helligdomsvej 16","3760","Gudhjem","55.222681","14.897812","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: Rasteplads ved Bornholmerpladsen i Rø.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/06/helligdomsvej162.jpg"
"449","Hovedgade 12, Snogebæk","3730","Nexø","55.026101","15.118580","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: ved Folkets Hus i Snogebæk.","Bornholm","sites/default/files/images/475/2017/06/hovedgade12_0.jpg"
"478","Jernbanevej 2, Lobbæk","3720","Åkirkeby","55.075278","14.834421","Unisex","Nej","Nej","Nej","Nej","Ja","Placering: I forbindelse med Lobbæk Medborgerhus.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/07/jernbanevej21.jpg"
"428","Levkavej 6B","3790","Hasle","55.160482","14.705974","Unisex","Nej","Nej","Nej","Nej","Nej","Placering: Tørkloset, P-plads ved Levkavej.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/levkavej6b2_0.jpg"
"454","Løsebækgade 13","3770","Allinge","55.272439","14.806483","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: ved Næs Badestrand.
Åbningsperiode: lukket fra 1. nov. - 31. april.","Bornholm","sites/default/files/images/475/2017/07/losebaekgadeapp_0.jpgsites/default/files/images/475/2017/07/losebaekgade13app_0.jpg"
"444","Mor Markers Gænge 4, Listed","3740","Svaneke","55.146848","15.106134","Unisex","Nej","Nej","Ved ikke","Nej","Ja","Placering: Høl strand, Listed.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/06/mormarkersgaenge42_0.jpg"
"463","Otto Bruuns Plads 1","3760","Gudhjem","55.223256","14.893059","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ja","Placering: Ved Bornholms Kunstmuseum.","Bornholm","sites/default/files/images/475/2017/07/ottobruunsplads13.jpgsites/default/files/images/475/2017/07/ottobruunsplads12.jpg"
